0,1
Datasets\IAM_Sentences\sentences\n03\n03-066\n03-066-s04-02.png,being flung against the huge boulders did the judge
Datasets\IAM_Sentences\sentences\n02\n02-054\n02-054-s05-00.png,He
Datasets\IAM_Sentences\sentences\g04\g04-003\g04-003-s00-01.png,a walk over the fields while we attended
Datasets\IAM_Sentences\sentences\g07\g07-079a\g07-079a-s01-00.png,Though Lady Byron
Datasets\IAM_Sentences\sentences\g06\g06-050g\g06-050g-s00-00.png,Mauro's first action was to write to his revered master
Datasets\IAM_Sentences\sentences\m01\m01-017\m01-017-s03-01.png,"breakfast nook , his head bent upright"
Datasets\IAM_Sentences\sentences\g06\g06-031n\g06-031n-s04-00.png,"I may be mistaken ,"
Datasets\IAM_Sentences\sentences\p06\p06-088\p06-088-s05-01.png,touched him after the cold wind
Datasets\IAM_Sentences\sentences\m01\m01-095\m01-095-s02-00.png,There was a deep
Datasets\IAM_Sentences\sentences\e07\e07-079\e07-079-s02-03.png,"doubt that a pile of badly stacked ,"
Datasets\IAM_Sentences\sentences\b04\b04-169\b04-169-s02-02.png,when they get it .
Datasets\IAM_Sentences\sentences\g07\g07-000b\g07-000b-s00-01.png,to Douglas Kinnaird saying that it was incorrect
Datasets\IAM_Sentences\sentences\m01\m01-049\m01-049-s00-00.png,He rose from his breakfast-nook bench
Datasets\IAM_Sentences\sentences\g06\g06-037j\g06-037j-s03-00.png,None of the numer-
Datasets\IAM_Sentences\sentences\k02\k02-112\k02-112-s03-01.png,"leave Malaya , even when he retires ."
Datasets\IAM_Sentences\sentences\a06\a06-020\a06-020-s03-01.png,so this is an invitation from my good friends of the TUC that
Datasets\IAM_Sentences\sentences\g06\g06-011k\g06-011k-s00-00.png,By the end of the month he still delighted in
Datasets\IAM_Sentences\sentences\p01\p01-147\p01-147-s05-00.png,Strange things
Datasets\IAM_Sentences\sentences\n04\n04-171\n04-171-s10-00.png,To go gassing to a newspaper man !
Datasets\IAM_Sentences\sentences\f02\f02-036\f02-036-s00-06.png,its implications and to consider the advisability of
Datasets\IAM_Sentences\sentences\b03\b03-098\b03-098-s02-01.png,about it yesterday .
Datasets\IAM_Sentences\sentences\g06\g06-011b\g06-011b-s05-03.png,"a favourable change in my eye ,"
Datasets\IAM_Sentences\sentences\e06\e06-033\e06-033-s00-00.png,"Herring fishermen call this "" the outset "" ."
Datasets\IAM_Sentences\sentences\g06\g06-011g\g06-011g-s00-00.png,By the end of the month he still delighted in Naples .
Datasets\IAM_Sentences\sentences\g06\g06-037g\g06-037g-s03-03.png,seventeen years before had had the slightest effect .
Datasets\IAM_Sentences\sentences\c03\c03-021d\c03-021d-s01-05.png,her hour of need .
Datasets\IAM_Sentences\sentences\e06\e06-026\e06-026-s00-02.png,are biased to east or west by the
Datasets\IAM_Sentences\sentences\n06\n06-092\n06-092-s04-00.png,Then he
Datasets\IAM_Sentences\sentences\e07\e07-076\e07-076-s01-00.png,This does not
Datasets\IAM_Sentences\sentences\p06\p06-088\p06-088-s04-01.png,no matter how one might want to
Datasets\IAM_Sentences\sentences\e04\e04-099\e04-099-s00-02.png,planing after fixing to the boat .
Datasets\IAM_Sentences\sentences\g04\g04-017\g04-017-s02-02.png,very intimate with the people and the environs .
Datasets\IAM_Sentences\sentences\h06\h06-082\h06-082-s01-05.png,dead ( after consultation with the supply
Datasets\IAM_Sentences\sentences\f02\f02-003\f02-003-s00-02.png,from various levels in the firm .
Datasets\IAM_Sentences\sentences\c03\c03-094d\c03-094d-s00-06.png,comically grotesque ; they were not
Datasets\IAM_Sentences\sentences\r02\r02-131\r02-131-s00-00.png,Your Auntie Edie 's coming in for a cup of tea later and
Datasets\IAM_Sentences\sentences\a06\a06-057\a06-057-s04-00.png,He
Datasets\IAM_Sentences\sentences\f07\f07-002\f07-002-s01-01.png,the progress of civilisation which allows a dish
Datasets\IAM_Sentences\sentences\g06\g06-011a\g06-011a-s04-00.png,"What a gay , lively"
Datasets\IAM_Sentences\sentences\c03\c03-003d\c03-003d-s01-02.png,and again it is the visual qualities of the
Datasets\IAM_Sentences\sentences\h07\h07-037a\h07-037a-s00-00.png,The establishment of open markets in the
Datasets\IAM_Sentences\sentences\g06\g06-050p\g06-050p-s02-02.png,"gentle and charming character , even-tempered and"
Datasets\IAM_Sentences\sentences\l04\l04-012\l04-012-s04-00.png,"Everything was all right now , thank God ."
Datasets\IAM_Sentences\sentences\f07\f07-046b\f07-046b-s02-01.png,"Celestials , apart from eating it fresh , squash"
Datasets\IAM_Sentences\sentences\a01\a01-091u\a01-091u-s01-01.png,their whips to defeat a censure motion
Datasets\IAM_Sentences\sentences\r06\r06-130\r06-130-s03-00.png,Cathe-
Datasets\IAM_Sentences\sentences\a01\a01-053u\a01-053u-s01-02.png,saying the Federal Bureau of Investigation had
Datasets\IAM_Sentences\sentences\c03\c03-007a\c03-007a-s00-00.png,In A Taste of Honey Mr. Richardson has
Datasets\IAM_Sentences\sentences\k07\k07-085\k07-085-s07-01.png,spite me .
Datasets\IAM_Sentences\sentences\a02\a02-082\a02-082-s02-02.png,the UNIP - were convicted last month in the
Datasets\IAM_Sentences\sentences\c06\c06-043\c06-043-s02-03.png,drunk and disorderly conduct .
Datasets\IAM_Sentences\sentences\e07\e07-061\e07-061-s02-00.png,Both the Chinese
Datasets\IAM_Sentences\sentences\d05\d05-008\d05-008-s01-01.png,tolerant towards Rome though the Gunpowder Plot
Datasets\IAM_Sentences\sentences\h04\h04-082\h04-082-s00-01.png,years cannot be made so precisely as in groups with a
Datasets\IAM_Sentences\sentences\r02\r02-137\r02-137-s07-00.png,You thought that I 'd think
Datasets\IAM_Sentences\sentences\r06\r06-000\r06-000-s00-00.png,"Vence is a sober spot , half way between small"
Datasets\IAM_Sentences\sentences\e01\e01-062\e01-062-s02-01.png,pages simple diagrams and instructions are given
Datasets\IAM_Sentences\sentences\h04\h04-061\h04-061-s00-01.png,different commodities attributable to the adult
Datasets\IAM_Sentences\sentences\r06\r06-035\r06-035-s04-00.png,The
Datasets\IAM_Sentences\sentences\a02\a02-042\a02-042-s02-02.png,Accra ?
Datasets\IAM_Sentences\sentences\h07\h07-011\h07-011-s00-05.png,Stevenage and 90 per cent in Hatfield .
Datasets\IAM_Sentences\sentences\b03\b03-098\b03-098-s04-04.png,public of the change .
Datasets\IAM_Sentences\sentences\h04\h04-049\h04-049-s01-04.png,adolescents .
Datasets\IAM_Sentences\sentences\j04\j04-024\j04-024-s01-03.png,of the strontium sulphate is incomplete .
Datasets\IAM_Sentences\sentences\m01\m01-017\m01-017-s01-02.png,and afflicted with occasional spasmodic jerks .
Datasets\IAM_Sentences\sentences\h04\h04-000\h04-000-s00-04.png,"of younger parents with lower earnings ,"
Datasets\IAM_Sentences\sentences\p03\p03-012\p03-012-s00-04.png,and in Liverpool they 'd want sea-farers .
Datasets\IAM_Sentences\sentences\e06\e06-026\e06-026-s00-01.png,explains how these migrating herring
Datasets\IAM_Sentences\sentences\d04\d04-075\d04-075-s02-01.png,"the "" tsitsits "" ."
Datasets\IAM_Sentences\sentences\h01\h01-007\h01-007-s00-01.png,Family Census had previously included
Datasets\IAM_Sentences\sentences\b02\b02-102\b02-102-s01-02.png,that they must do nothing to harm even remotely Dr
Datasets\IAM_Sentences\sentences\b04\b04-195\b04-195-s03-01.png,Cambridge want the study of agriculture to become
Datasets\IAM_Sentences\sentences\m01\m01-115\m01-115-s01-00.png,"First , to avoid the"
Datasets\IAM_Sentences\sentences\g04\g04-036\g04-036-s01-02.png,great family consultations .
Datasets\IAM_Sentences\sentences\r06\r06-041\r06-041-s01-01.png,and had the air of being written by an
Datasets\IAM_Sentences\sentences\g06\g06-031n\g06-031n-s01-01.png,tremble !
Datasets\IAM_Sentences\sentences\a01\a01-014x\a01-014x-s04-00.png,Yesterday Sir Roy's
Datasets\IAM_Sentences\sentences\a01\a01-058x\a01-058x-s02-01.png,Government would try to get Germany to
Datasets\IAM_Sentences\sentences\m04\m04-200\m04-200-s07-02.png,taken an interest .
Datasets\IAM_Sentences\sentences\c03\c03-003f\c03-003f-s01-02.png,and again and again it is the visual qualities
Datasets\IAM_Sentences\sentences\b04\b04-202\b04-202-s02-01.png,similar course in farming for 15 years !
Datasets\IAM_Sentences\sentences\m03\m03-095\m03-095-s01-01.png,we were to go no further unless and
Datasets\IAM_Sentences\sentences\g07\g07-007a\g07-007a-s00-01.png,"BOOK ON BYRON AND SHELLEY , TRELAWNY"
Datasets\IAM_Sentences\sentences\k02\k02-097\k02-097-s01-06.png,clothes she was wearing .
Datasets\IAM_Sentences\sentences\p01\p01-147\p01-147-s03-01.png,in a huddle upon an upturned wheelbarrow .
Datasets\IAM_Sentences\sentences\p02\p02-139\p02-139-s02-02.png,I can for him so that she can get out to do her shopping .
Datasets\IAM_Sentences\sentences\g01\g01-037\g01-037-s00-00.png,The people - Langland's ' folk ' and Gaunt's
Datasets\IAM_Sentences\sentences\d04\d04-047\d04-047-s00-00.png,Under such conditions without putting your
Datasets\IAM_Sentences\sentences\m03\m03-062\m03-062-s00-07.png,necessity of rounding my narrative
Datasets\IAM_Sentences\sentences\d05\d05-040\d05-040-s04-01.png,"altars and not any broken down , transportable"
Datasets\IAM_Sentences\sentences\h06\h06-003\h06-003-s01-00.png,"However , the number of"
Datasets\IAM_Sentences\sentences\r03\r03-110\r03-110-s03-01.png,"and some in West Hampstead for four two fifty ,"
Datasets\IAM_Sentences\sentences\b04\b04-169\b04-169-s03-00.png,Now a survey of the Post
Datasets\IAM_Sentences\sentences\g07\g07-028b\g07-028b-s00-04.png,"write on ever more daring themes , teaching"
Datasets\IAM_Sentences\sentences\g07\g07-026b\g07-026b-s00-04.png,in secret the unguarded letters he never
Datasets\IAM_Sentences\sentences\c06\c06-087\c06-087-s00-00.png,#
Datasets\IAM_Sentences\sentences\g03\g03-032\g03-032-s01-04.png,better appearance .
Datasets\IAM_Sentences\sentences\h07\h07-063b\h07-063b-s01-05.png,"( who have a research laboratory at Harlow ) , the"
Datasets\IAM_Sentences\sentences\l07\l07-131\l07-131-s02-03.png,had their eyes on a seagoing boat .
Datasets\IAM_Sentences\sentences\m01\m01-104\m01-104-s02-01.png,caped Thetan subjugation .
Datasets\IAM_Sentences\sentences\a05\a05-073\a05-073-s03-02.png,final and irrevocable division of Germany .
Datasets\IAM_Sentences\sentences\m06\m06-076\m06-076-s03-00.png,' We do . '
Datasets\IAM_Sentences\sentences\d06\d06-113\d06-113-s00-00.png,"She will , in fact , be surprised at what peace"
Datasets\IAM_Sentences\sentences\l04\l04-098\l04-098-s00-01.png,for the time being than behind a piece
Datasets\IAM_Sentences\sentences\n04\n04-114\n04-114-s11-00.png,""" Expense account ."
Datasets\IAM_Sentences\sentences\b01\b01-057\b01-057-s01-03.png,idea that moral regeneration would solve
Datasets\IAM_Sentences\sentences\c03\c03-087e\c03-087e-s00-00.png,"It went , perhaps , some distance beyond most"
Datasets\IAM_Sentences\sentences\a06\a06-110\a06-110-s02-02.png,we are necessarily bound for
Datasets\IAM_Sentences\sentences\f02\f02-038\f02-038-s00-02.png,reflected not only an increasing awareness
Datasets\IAM_Sentences\sentences\g06\g06-045a\g06-045a-s00-04.png,"success in France and Italy , and that he"
Datasets\IAM_Sentences\sentences\g06\g06-037e\g06-037e-s03-00.png,None of the
Datasets\IAM_Sentences\sentences\d04\d04-111\d04-111-s04-02.png,the richness of the Law and that we should
Datasets\IAM_Sentences\sentences\c03\c03-094e\c03-094e-s00-06.png,they were not asked to modulate from
Datasets\IAM_Sentences\sentences\e02\e02-100\e02-100-s02-00.png,"To put it in a slightly different way , do not allow"
Datasets\IAM_Sentences\sentences\k04\k04-075\k04-075-s00-00.png,"She had , perhaps , demanded too much ."
Datasets\IAM_Sentences\sentences\f04\f04-053\f04-053-s02-01.png,have been very thankful that the science of
Datasets\IAM_Sentences\sentences\a01\a01-053u\a01-053u-s03-01.png,has to pass Mr. Weaver's nomination before it
Datasets\IAM_Sentences\sentences\g06\g06-018h\g06-018h-s01-02.png,"told Arthur , ' to find this place agree with me better"
Datasets\IAM_Sentences\sentences\e04\e04-043\e04-043-s00-01.png,rowing dinghy many of which I have built and
Datasets\IAM_Sentences\sentences\e06\e06-037\e06-037-s01-00.png,"There is the "" swim """
Datasets\IAM_Sentences\sentences\b01\b01-033\b01-033-s00-00.png,But the Queen and the Duke have pleased millions by
Datasets\IAM_Sentences\sentences\c03\c03-000f\c03-000f-s01-03.png,"Miss Delaney of the script , and the great"
Datasets\IAM_Sentences\sentences\m03\m03-020\m03-020-s03-00.png,Look over there . '
Datasets\IAM_Sentences\sentences\k02\k02-036\k02-036-s06-00.png,I had not known he was so
Datasets\IAM_Sentences\sentences\a06\a06-070\a06-070-s00-00.png,"As Mr. Macmillan made his announcement , the"
Datasets\IAM_Sentences\sentences\n04\n04-048\n04-048-s02-03.png,man who was staring moodily into a gin
Datasets\IAM_Sentences\sentences\m04\m04-072\m04-072-s04-00.png,"Already , even"
Datasets\IAM_Sentences\sentences\b05\b05-067\b05-067-s01-03.png,at the apex .
Datasets\IAM_Sentences\sentences\b01\b01-136\b01-136-s03-00.png,Between
Datasets\IAM_Sentences\sentences\a04\a04-059\a04-059-s02-00.png,Mr. Gaitskell added that
Datasets\IAM_Sentences\sentences\a02\a02-020\a02-020-s02-00.png,Last year it was
Datasets\IAM_Sentences\sentences\l01\l01-030\l01-030-s01-01.png,look around for some other
Datasets\IAM_Sentences\sentences\a06\a06-147\a06-147-s03-01.png,contingency would be to sign a peace treaty to remove the cancerous
Datasets\IAM_Sentences\sentences\d06\d06-060\d06-060-s00-00.png,One of the greatest steps forward that has been
Datasets\IAM_Sentences\sentences\n06\n06-140\n06-140-s04-01.png,"though they 're expecting trouble , "" I said ."
Datasets\IAM_Sentences\sentences\e07\e07-108\e07-108-s00-02.png,their cheapness making them attractive to the
Datasets\IAM_Sentences\sentences\n06\n06-119\n06-119-s01-00.png,The real high country of the Rockies
Datasets\IAM_Sentences\sentences\d04\d04-008\d04-008-s02-00.png,We are also told that the Shamir
Datasets\IAM_Sentences\sentences\e07\e07-083\e07-083-s00-03.png,young man was so wholehearted about this
Datasets\IAM_Sentences\sentences\e04\e04-083\e04-083-s00-00.png,The edges of the transoms should be bevelled to
Datasets\IAM_Sentences\sentences\g07\g07-014b\g07-014b-s01-02.png,and his inventory has been preserved .
Datasets\IAM_Sentences\sentences\n04\n04-202\n04-202-s02-00.png,""" I don't know when that will be , "" said John ."
Datasets\IAM_Sentences\sentences\e07\e07-072\e07-072-s01-00.png,It is mostly
Datasets\IAM_Sentences\sentences\a04\a04-019\a04-019-s02-01.png,"situation in regard to Germany was reviewed , and there was full"
Datasets\IAM_Sentences\sentences\b06\b06-008\b06-008-s02-03.png,"United States' principal Nato ally . """
Datasets\IAM_Sentences\sentences\g06\g06-031p\g06-031p-s04-00.png,"I may be mistaken , 1tho' I cannot but"
Datasets\IAM_Sentences\sentences\n02\n02-062\n02-062-s04-01.png,"sake show a glimmer of reason , "" was his"
Datasets\IAM_Sentences\sentences\a01\a01-030x\a01-030x-s04-01.png,said Britain had an obligation to consult
Datasets\IAM_Sentences\sentences\g06\g06-018c\g06-018c-s00-00.png,"When the sailing season was past , he sent Pearl back"
Datasets\IAM_Sentences\sentences\g06\g06-050r\g06-050r-s00-01.png,"at Ko""then , near Leipzig , asking for advice ."
Datasets\IAM_Sentences\sentences\a01\a01-049u\a01-049u-s00-00.png,"Senator Allen Ellender , of Louisiana ,"
Datasets\IAM_Sentences\sentences\m01\m01-022\m01-022-s00-02.png,brought forward .
Datasets\IAM_Sentences\sentences\j06\j06-034\j06-034-s02-05.png,temperature changes have also been
Datasets\IAM_Sentences\sentences\l04\l04-071\l04-071-s00-00.png,"Tonight , for the first time , he had abandoned all"
Datasets\IAM_Sentences\sentences\k02\k02-097\k02-097-s03-02.png,the East ' .
Datasets\IAM_Sentences\sentences\b01\b01-000\b01-000-s00-00.png,Prime Minister after Prime Minister speaks out
Datasets\IAM_Sentences\sentences\b04\b04-202\b04-202-s01-00.png,Now Cambridge has
Datasets\IAM_Sentences\sentences\c06\c06-106\c06-106-s02-04.png,perfect baby .
Datasets\IAM_Sentences\sentences\n03\n03-091\n03-091-s01-00.png,"He no drown , too ."
Datasets\IAM_Sentences\sentences\k07\k07-122\k07-122-s01-02.png,"purposely withholding , to hear her deep-throated"
Datasets\IAM_Sentences\sentences\d01\d01-085\d01-085-s01-01.png,"original of the Gospel , whether written on a roll or codex ,"
Datasets\IAM_Sentences\sentences\m04\m04-038\m04-038-s02-02.png,scene .
Datasets\IAM_Sentences\sentences\d04\d04-053\d04-053-s01-00.png,Help will not be easily forth-
Datasets\IAM_Sentences\sentences\g06\g06-026p\g06-026p-s02-00.png,But he has not one word of English . '
Datasets\IAM_Sentences\sentences\k03\k03-138\k03-138-s04-00.png,The Chancellor
Datasets\IAM_Sentences\sentences\l04\l04-102\l04-102-s01-00.png,The
Datasets\IAM_Sentences\sentences\e04\e04-068\e04-068-s00-00.png,I have also included a sketch of paddles I make for
Datasets\IAM_Sentences\sentences\e04\e04-109\e04-109-s01-02.png,the 1/4 in. ply .
Datasets\IAM_Sentences\sentences\e02\e02-086\e02-086-s03-01.png,nature of the work will probably dictate the additions
Datasets\IAM_Sentences\sentences\h02\h02-043\h02-043-s00-01.png,dations in 1926 on the supply of morphine
Datasets\IAM_Sentences\sentences\l01\l01-119\l01-119-s05-00.png,"Mum 's picking up , but she 'll never be her old self"
Datasets\IAM_Sentences\sentences\k04\k04-099\k04-099-s02-01.png,"and terraced vineyards , and here and there jutted"
Datasets\IAM_Sentences\sentences\k02\k02-097\k02-097-s01-04.png,"so quite dispassionately , almost as though"
Datasets\IAM_Sentences\sentences\m02\m02-080\m02-080-s00-00.png,Sentence Database
Datasets\IAM_Sentences\sentences\a04\a04-085\a04-085-s00-00.png,Suggesting that a total T.U.C.
Datasets\IAM_Sentences\sentences\a02\a02-027\a02-027-s03-02.png,"in Belgrade , has resumed his holiday on the Black"
Datasets\IAM_Sentences\sentences\k02\k02-018\k02-018-s00-00.png,"The gin pahits , and now the beer with the"
Datasets\IAM_Sentences\sentences\b04\b04-010\b04-010-s07-01.png,families !
Datasets\IAM_Sentences\sentences\l01\l01-157\l01-157-s04-02.png,no man 's safe from 'em .
Datasets\IAM_Sentences\sentences\m02\m02-052\m02-052-s01-01.png,( Stamp Department ) while Sally sulked at home .
Datasets\IAM_Sentences\sentences\m02\m02-083\m02-083-s00-00.png,"Peron entered , a large man , who had once been"
Datasets\IAM_Sentences\sentences\c06\c06-103\c06-103-s00-00.png,THE Marriage-Go-Round ( Carlton )
Datasets\IAM_Sentences\sentences\a03\a03-023\a03-023-s00-00.png,This emphasis on the legality of the former
Datasets\IAM_Sentences\sentences\a04\a04-015\a04-015-s00-00.png,The joint communique on Mr. Kennedy's and Mr. Macmillan's
Datasets\IAM_Sentences\sentences\b06\b06-004\b06-004-s02-01.png,providing the cloak for Germany to build an
Datasets\IAM_Sentences\sentences\b04\b04-154\b04-154-s05-01.png,Welensky justified in being so harsh to those who
Datasets\IAM_Sentences\sentences\f07\f07-073\f07-073-s01-04.png,"streaks of poetry , meat disguised under heavy and vehement"
Datasets\IAM_Sentences\sentences\j04\j04-098\j04-098-s01-02.png,bismuth-210 and the added carrier was
Datasets\IAM_Sentences\sentences\g06\g06-042d\g06-042d-s01-02.png,known as homoeopathy had been brought to his notice .
Datasets\IAM_Sentences\sentences\a06\a06-051\a06-051-s03-02.png,doorway looking more composed .
Datasets\IAM_Sentences\sentences\d06\d06-111\d06-111-s00-03.png,"do , note the order in which they can most conveniently be"
Datasets\IAM_Sentences\sentences\e04\e04-000\e04-000-s01-02.png,capable of withstanding the heavy handling of the
Datasets\IAM_Sentences\sentences\l01\l01-129\l01-129-s01-01.png,"married , "" Fred said ."
Datasets\IAM_Sentences\sentences\d01\d01-118\d01-118-s02-01.png,"writing , but any papyrus left unused at the"
Datasets\IAM_Sentences\sentences\b04\b04-066\b04-066-s07-00.png,EARL RUSSELL and his friends have
Datasets\IAM_Sentences\sentences\r06\r06-121\r06-121-s00-02.png,"walked together across green fields , and"
Datasets\IAM_Sentences\sentences\b04\b04-010\b04-010-s08-01.png,larders been so well stocked .
Datasets\IAM_Sentences\sentences\c02\c02-082\c02-082-s01-01.png,magnificent performances from him and
Datasets\IAM_Sentences\sentences\e01\e01-029\e01-029-s00-01.png,"and rich colour , knitting , crochet and"
Datasets\IAM_Sentences\sentences\h07\h07-003\h07-003-s00-02.png,site works and buildings .
Datasets\IAM_Sentences\sentences\m02\m02-087\m02-087-s00-01.png,"Mr. Wise the tube manufacturer , to have the same adolescent"
Datasets\IAM_Sentences\sentences\n04\n04-209\n04-209-s02-03.png,some sort .
Datasets\IAM_Sentences\sentences\k07\k07-185\k07-185-s02-03.png,him a membership ticket for a
Datasets\IAM_Sentences\sentences\g06\g06-047o\g06-047o-s00-06.png,of Europe .
Datasets\IAM_Sentences\sentences\g06\g06-031l\g06-031l-s04-01.png,fear that the exasperation of the People will be so
Datasets\IAM_Sentences\sentences\d04\d04-131\d04-131-s04-00.png,"Because , they kept the Passover and they were"
Datasets\IAM_Sentences\sentences\f07\f07-039a\f07-039a-s01-00.png,It
Datasets\IAM_Sentences\sentences\m06\m06-056\m06-056-s00-00.png,Haris had trampled on his .
Datasets\IAM_Sentences\sentences\a06\a06-014\a06-014-s02-01.png,the scheme .
Datasets\IAM_Sentences\sentences\m02\m02-102\m02-102-s02-01.png,"with university records , the agents of the"
Datasets\IAM_Sentences\sentences\a02\a02-017\a02-017-s01-01.png,"he goes to Brussels , headquarters of the Common"
Datasets\IAM_Sentences\sentences\f04\f04-064\f04-064-s01-00.png,A medical journal
Datasets\IAM_Sentences\sentences\f07\f07-032a\f07-032a-s00-03.png,ethereal enjoyment to the grosser pleasures of the
Datasets\IAM_Sentences\sentences\e07\e07-112\e07-112-s01-01.png,"are usually more expensive than clay ones ,"
Datasets\IAM_Sentences\sentences\n02\n02-114\n02-114-s02-02.png,island I needn't tell you that Sir John
Datasets\IAM_Sentences\sentences\l04\l04-124\l04-124-s02-00.png,"' I know , but from the"
Datasets\IAM_Sentences\sentences\h07\h07-028a\h07-028a-s00-00.png,Distribution over the town as a whole
Datasets\IAM_Sentences\sentences\l04\l04-093\l04-093-s01-01.png,that fifty pounds for Kitty !
Datasets\IAM_Sentences\sentences\f07\f07-084b\f07-084b-s02-00.png,This Bouillabaisse a
Datasets\IAM_Sentences\sentences\c06\c06-116\c06-116-s03-00.png,According to the script she was once
Datasets\IAM_Sentences\sentences\a01\a01-077\a01-077-s03-02.png,aides to come up with the answer on
Datasets\IAM_Sentences\sentences\p06\p06-047\p06-047-s00-00.png,' I will leave you the necessary pre-
Datasets\IAM_Sentences\sentences\r03\r03-007\r03-007-s00-01.png,clothed leaf by leaf with the disappointment
Datasets\IAM_Sentences\sentences\a06\a06-119\a06-119-s02-00.png,This was
Datasets\IAM_Sentences\sentences\p03\p03-112\p03-112-s02-01.png,"become you to behave like a - a tart , Di . """
Datasets\IAM_Sentences\sentences\n04\n04-171\n04-171-s07-00.png,""" What 's he been"
Datasets\IAM_Sentences\sentences\b06\b06-036\b06-036-s01-02.png,building up their power .
Datasets\IAM_Sentences\sentences\g06\g06-031o\g06-031o-s03-01.png,"I am indifferent , but I really tremble"
Datasets\IAM_Sentences\sentences\a05\a05-113\a05-113-s00-00.png,"True , he did tell the House that the"
Datasets\IAM_Sentences\sentences\e04\e04-086\e04-086-s02-00.png,I
Datasets\IAM_Sentences\sentences\f04\f04-061\f04-061-s00-01.png,sorts of horrible illnesses brought on by the
Datasets\IAM_Sentences\sentences\m03\m03-013\m03-013-s05-00.png,"Might be jaguar , might be ..."
Datasets\IAM_Sentences\sentences\g06\g06-031p\g06-031p-s04-04.png,"be a mass of Radicalism , & then God knows what"
Datasets\IAM_Sentences\sentences\a01\a01-043\a01-043-s00-01.png,resume today .
Datasets\IAM_Sentences\sentences\a01\a01-132\a01-132-s02-01.png,"attack on "" economic charges "" for welfare"
Datasets\IAM_Sentences\sentences\e04\e04-103\e04-103-s03-02.png,well .
Datasets\IAM_Sentences\sentences\c04\c04-004\c04-004-s02-02.png,"doing better here , before the platinum-plated Hollywood"
Datasets\IAM_Sentences\sentences\e01\e01-086\e01-086-s01-02.png,outside edge .
Datasets\IAM_Sentences\sentences\g06\g06-037m\g06-037m-s01-02.png,him off yesterday . '
Datasets\IAM_Sentences\sentences\n04\n04-015\n04-015-s00-01.png,as possible .
Datasets\IAM_Sentences\sentences\l04\l04-093\l04-093-s02-02.png,discovered his hiding-place gave him something of a shock .
Datasets\IAM_Sentences\sentences\b04\b04-147\b04-147-s02-02.png,householders when trenches are dug outside their
Datasets\IAM_Sentences\sentences\j07\j07-015\j07-015-s00-00.png,The basic method of construction is both simple and
Datasets\IAM_Sentences\sentences\f04\f04-016\f04-016-s00-02.png,"she had tea with her other sister , and then"
Datasets\IAM_Sentences\sentences\j04\j04-019\j04-019-s02-00.png,Some separa-
Datasets\IAM_Sentences\sentences\c06\c06-106\c06-106-s01-01.png,mission in mind .
Datasets\IAM_Sentences\sentences\d04\d04-012\d04-012-s02-04.png,"the Shmah , loves the Lord God with"
Datasets\IAM_Sentences\sentences\b05\b05-079\b05-079-s02-01.png,to have been our destination .
Datasets\IAM_Sentences\sentences\n01\n01-004\n01-004-s01-00.png,Alastair was
Datasets\IAM_Sentences\sentences\a02\a02-086\a02-086-s01-00.png,""" I am now compelled to say that"
Datasets\IAM_Sentences\sentences\g06\g06-026h\g06-026h-s03-01.png,"of the Whigs , and the temporary assumption of"
Datasets\IAM_Sentences\sentences\g04\g04-026\g04-026-s01-01.png,old school friend at Clifton .
Datasets\IAM_Sentences\sentences\g07\g07-022a\g07-022a-s02-01.png,Augusta was in one of her worst states of
Datasets\IAM_Sentences\sentences\c04\c04-056\c04-056-s00-01.png,comics bolted in and out of holes so often .
Datasets\IAM_Sentences\sentences\k02\k02-053\k02-053-s02-01.png,and knew they were back .
Datasets\IAM_Sentences\sentences\a04\a04-099\a04-099-s02-04.png,"while , on the contrary , they impose upon"
Datasets\IAM_Sentences\sentences\d04\d04-081\d04-081-s03-03.png,should remember the Great
Datasets\IAM_Sentences\sentences\h07\h07-025\h07-025-s01-01.png,has generally been based on an
Datasets\IAM_Sentences\sentences\r02\r02-060\r02-060-s01-02.png,bent wire loop into the lock and
Datasets\IAM_Sentences\sentences\g06\g06-026b\g06-026b-s03-03.png,assumption of the government by
Datasets\IAM_Sentences\sentences\a04\a04-006\a04-006-s00-01.png,wanted him to apply for membership of the Common
Datasets\IAM_Sentences\sentences\l04\l04-082\l04-082-s01-00.png,But he was still no sort of match for a young
Datasets\IAM_Sentences\sentences\e04\e04-109\e04-109-s03-00.png,Remember
Datasets\IAM_Sentences\sentences\p02\p02-008\p02-008-s00-03.png,Gavin she had left her sun-
Datasets\IAM_Sentences\sentences\n04\n04-202\n04-202-s04-00.png,"THERE were six submarines ,"
Datasets\IAM_Sentences\sentences\p03\p03-185\p03-185-s02-02.png,to be met at the gates .
Datasets\IAM_Sentences\sentences\g06\g06-045k\g06-045k-s00-01.png,"the diplomatist Lord Ponsonby , had written to advise"
Datasets\IAM_Sentences\sentences\n02\n02-104\n02-104-s02-02.png,"amiss , was nudging her in the endeavour to"
Datasets\IAM_Sentences\sentences\m04\m04-093\m04-093-s00-00.png,"Immersed in the Dinas Advertiser , was the"
Datasets\IAM_Sentences\sentences\r06\r06-076\r06-076-s00-01.png,Mediterranean people to whom nothing
Datasets\IAM_Sentences\sentences\b06\b06-045\b06-045-s02-01.png,"many others , we conducted our fight by putting"
Datasets\IAM_Sentences\sentences\a04\a04-043\a04-043-s01-02.png,sites in Britain for the training of German
